RaceDate,SeqOfDay,Distance,Class,Going,ActualPlace,Bingo,Win-Pay,Win-Gain,Place-Pay,Place-Gain,Q-Pay,Q-Gain,QPlace-Pay,QPlace-Gain,TRIO-Pay,TRIO-Gain
20170903,1,1000,4,GOOD,1-10-6-5-2-3-7-9-8-4-,1,10,0,30,15.0,30,0,30,0,10,0
20170903,2,1600,5,GOOD,9-8-1-4-3-2-5-6-7-,1,20,0,30,26.5,30,0,30,0,10,0
20170903,3,1200,1,GOOD,5-7-4-6-2-1-3-,0,20,0,30,0,30,0,30,0,10,0
20170903,4,1200,4,GOOD,4-5-9-6-8-3-13-11-12-2-10-1-7-,0,10,0,30,0,30,0,30,0,10,0
20170903,5,1200,5,GOOD,4-8-6-9-3-10-5-12-1-11-2-7-13-,0,20,0,30,0,30,0,30,0,10,0
20170903,6,1400,4,GOOD,8-12-11-6-10-13-1-9-4-7-2-5-3-,0,20,0,30,0,30,0,30,0,10,0
20170903,7,1000,3,GOOD,4-3-12-10-1-9-5-7-6-2-8-11-,1,20,0,30,13.0,30,0,30,0,10,0
20170903,8,1400,2,GOOD,9-7-3-8-4-10-5-12-11-6-1-2-,1,20,0,30,15.5,30,0,30,0,10,0
20170903,9,1200,3,GOOD,3-4-14-7-8-5-11-10-1-6-9-2-13-12-,1,20,0,30,14.5,30,0,30,0,10,0
20170903,10,1400,3,GOOD,12-8-6-9-2-4-11-10-5-7-3-1-,0,10,0,30,0,30,0,30,0,10,0
20170906,1,1200,5,GOOD,2-3-6-1-8-4-7-5-,2,10,59.5,30,42.5,30,0,30,77.5,10,0
20170906,2,1650,4,GOOD,7-1-8-2-3-4-5-6-,1,0,0,30,15.0,30,0,30,0,10,0
20170906,3,1650,5,GOOD,7-4-9-8-2-11-10-5-3-6-1-,0,20,0,30,0,30,0,30,0,10,0
20170906,4,1000,4,GOOD,6-3-5-1-11-4-10-7-8-12-9-2-,1,20,0,30,64.5,30,0,30,0,10,0
20170906,5,1200,4,GOOD,1-11-5-2-8-7-6-4-10-3-9-,1,10,0,30,12.0,30,0,30,0,10,0
20170906,6,1200,3,GOOD,10-8-7-12-3-5-4-6-2-1-11-9-,0,10,0,30,0,30,0,30,0,10,0
20170906,7,1650,3,GOOD,2-1-4-3-10-9-7-6-5-8-11-,2,0,0,30,32.5,30,80.5,30,34.0,10,0
20170906,8,1200,2,GOOD,1-9-7-2-12-3-5-6-8-10-4-11-,1,10,0,30,14.0,30,0,30,0,10,0
20170910,1,1200,4,GOOD,5-3-7-9-2-8-4-6-1-,1,10,0,30,25.0,30,0,30,0,10,0
20170910,2,1000,5,GOOD,8-1-5-9-4-2-10-7-11-6-3-,1,10,0,30,15.5,30,0,30,0,10,0
20170910,3,1600,4,GOOD,2-9-10-6-4-1-8-5-3-7-,1,10,88.0,30,20.5,30,0,30,0,10,0
20170910,4,1400,5,GOOD,6-8-1-4-13-5-10-3-2-14-12-11-9-7-,1,20,0,30,67.0,30,0,30,0,10,0
20170910,5,1400,4,GOOD,1-2-6-4-8-7-9-10-5-3-,2,10,71.5,30,34.0,30,104.5,30,44.0,10,0
20170910,6,1200,4,GOOD,2-8-5-9-1-3-7-6-4-,1,0,0,30,18.0,30,0,30,0,10,0
20170910,7,1400,1,GOOD,6-3-4-1-2-8-5-7-,1,20,0,30,11.5,30,0,30,0,10,0
20170910,8,1600,3,GOOD,3-5-2-7-4-6-8-1-9-10-,2,10,0,30,33.5,30,0,30,39.5,10,0
20170910,9,1200,3,GOOD,5-6-9-10-2-7-1-4-3-8-11-,0,10,0,30,0,30,0,30,0,10,0
20170910,10,1200,3,GOOD,7-1-10-6-11-5-4-12-2-3-8-9-,1,20,0,30,49.5,30,0,30,0,10,0
20170913,1,1200,4,GOOD TO FIRM,3-2-6-1-8-4-5-7-,2,10,0,30,23.5,30,0,30,17.5,10,0
20170913,2,1200,4,GOOD TO FIRM,5-2-1-3-7-6-8-4-,2,10,0,30,42.5,30,0,30,88.0,10,0
20170913,3,1650,5,GOOD TO FIRM,2-1-3-8-5-6-4-7-,1,20,0,30,16.5,30,0,30,0,10,0
20170913,4,1000,3,GOOD TO FIRM,1-8-2-6-5-3-4-10-7-9-,2,0,0,30,27.0,30,0,30,29.0,10,0
20170913,5,1650,4,GOOD TO FIRM,1-9-3-6-7-2-5-8-10-4-,2,0,0,30,35.0,30,0,30,38.5,10,0
20170913,6,1650,3,GOOD TO FIRM,3-7-1-2-5-10-8-6-9-4-,2,10,0,30,60.5,30,0,30,121.0,10,0
20170913,7,1200,3,GOOD TO FIRM,6-7-5-10-1-8-3-9-2-4-,0,10,0,30,0,30,0,30,0,10,0
20170913,8,1650,2,GOOD TO FIRM,10-11-5-2-9-3-6-12-8-1-4-7-,0,20,0,30,0,30,0,30,0,10,0
20170916,1,1200,4,GOOD TO FIRM,4-10-3-2-9-6-7-5-8-1-,1,10,0,30,14.0,30,0,30,0,10,0
20170916,2,1000,4,GOOD TO FIRM,10-2-4-1-3-6-9-5-7-8-,1,20,0,30,36.5,30,0,30,0,10,0
