RaceDate,SeqOfDay,Distance,Class,Going,ActualPlace,Bingo,Win-Pay,Win-Gain,Place-Pay,Place-Gain,Q-Pay,Q-Gain,QPlace-Pay,QPlace-Gain,TRIO-Pay,TRIO-Gain
20170903,1,1000,4,GOOD,2-4-6-3-5-1-7-9-10-8-,1,0,0,30,15.0,30,0,30,0,100,0
20170903,2,1600,5,GOOD,2-8-6-7-5-4-9-3-1-,1,10,53.0,30,18.0,30,0,30,0,100,0
20170903,3,1200,1,GOOD,1-4-2-3-6-5-7-,2,0,0,30,34.0,30,0,30,35.5,100,129.0
20170903,4,1200,4,GOOD,1-4-9-7-10-3-5-12-13-2-11-8-6-,1,0,0,30,13.0,30,0,30,0,100,0
20170903,5,1200,5,GOOD,1-13-10-5-2-12-8-3-7-6-9-11-4-,1,10,0,30,15.0,30,0,30,0,100,0
20170903,6,1400,4,GOOD,6-5-1-4-10-13-8-7-11-2-3-9-12-,1,10,0,30,15.0,30,0,30,0,100,0
20170903,7,1000,3,GOOD,4-2-10-5-3-6-11-1-12-7-9-8-,1,0,0,30,13.0,30,0,30,0,100,0
20170903,8,1400,2,GOOD,2-5-1-3-7-4-10-12-11-6-8-9-,2,10,57.5,30,33.5,30,0,30,39.5,100,176.0
20170903,9,1200,3,GOOD,2-5-13-7-3-1-8-9-4-10-11-6-14-12-,1,0,0,30,14.5,30,0,30,0,100,0
20170903,10,1400,3,GOOD,3-2-7-9-4-12-11-10-8-6-5-1-,2,0,0,30,34.0,30,0,30,41.5,100,0
20170906,1,1200,5,GOOD,3-4-6-2-5-7-8-1-,1,0,0,30,26.5,30,0,30,0,100,0
20170906,2,1650,4,GOOD,8-1-6-2-4-3-5-7-,1,0,0,30,15.0,30,0,30,0,100,0
20170906,3,1650,5,GOOD,1-3-8-9-2-7-4-10-6-11-5-,2,10,0,30,32.5,30,0,30,32.5,100,0
20170906,4,1000,4,GOOD,2-6-4-7-8-1-11-10-3-12-9-5-,1,0,0,30,15.0,30,0,30,0,100,0
20170906,5,1200,4,GOOD,1-7-5-2-8-6-9-4-11-3-10-,1,10,0,30,12.0,30,0,30,0,100,0
20170906,6,1200,3,GOOD,8-7-1-11-3-9-4-6-5-2-12-10-,1,10,0,30,18.5,30,0,30,0,100,0
20170906,7,1650,3,GOOD,1-3-7-5-11-6-4-8-9-2-10-,2,0,0,30,32.5,30,0,30,34.0,100,0
20170906,8,1200,2,GOOD,1-6-10-7-12-4-3-8-2-5-9-11-,1,10,0,30,14.0,30,0,30,0,100,0
20170910,1,1200,4,GOOD,1-4-5-3-2-7-6-9-8-,1,0,0,30,12.5,30,0,30,0,100,325.0
20170910,2,1000,5,GOOD,2-1-5-3-7-6-11-9-10-4-8-,2,0,0,30,33.5,30,101.5,30,40.5,100,575.0
20170910,3,1600,4,GOOD,6-5-7-9-4-1-8-10-2-3-,0,10,0,30,0,30,0,30,0,100,0
20170910,4,1400,5,GOOD,4-2-8-3-7-10-1-5-6-14-13-9-11-12-,1,0,0,30,18.5,30,0,30,0,100,0
20170910,5,1400,4,GOOD,5-1-4-3-10-2-6-9-7-8-,1,10,0,30,13.5,30,0,30,0,100,309.0
20170910,6,1200,4,GOOD,2-8-7-9-1-3-5-4-6-,1,0,0,30,18.0,30,0,30,0,100,0
20170910,7,1400,1,GOOD,4-3-7-1-6-8-2-5-,1,10,0,30,11.5,30,0,30,0,100,0
20170910,8,1600,3,GOOD,4-2-1-3-5-8-6-9-10-7-,2,0,0,30,29.5,30,0,30,27.5,100,87.0
20170910,9,1200,3,GOOD,1-6-7-5-3-10-2-4-8-9-11-,1,10,0,30,12.0,30,0,30,0,100,0
20170910,10,1200,3,GOOD,9-1-11-8-4-7-2-12-3-5-6-10-,1,20,0,30,49.5,30,0,30,0,100,0
20170913,1,1200,4,GOOD TO FIRM,1-2-6-5-7-4-3-8-,2,0,0,30,23.5,30,36.0,30,17.5,100,0
20170913,2,1200,4,GOOD TO FIRM,2-4-1-3-5-7-8-6-,2,0,0,30,30.0,30,0,30,22.5,100,289.0
20170913,3,1650,5,GOOD TO FIRM,2-8-1-3-6-4-7-5-,1,10,0,30,16.5,30,0,30,0,100,0
20170913,4,1000,3,GOOD TO FIRM,1-3-2-7-5-8-4-6-9-10-,3,0,0,30,53.5,30,0,30,138.5,100,158.0
20170913,5,1650,4,GOOD TO FIRM,1-5-4-8-7-2-10-9-6-3-,1,0,0,30,17.5,30,0,30,0,100,184.0
20170913,6,1650,3,GOOD TO FIRM,7-5-3-8-1-9-6-2-10-4-,1,10,0,30,16.5,30,0,30,0,100,0
20170913,7,1200,3,GOOD TO FIRM,6-7-4-8-1-10-2-5-3-9-,0,10,0,30,0,30,0,30,0,100,0
20170913,8,1650,2,GOOD TO FIRM,1-7-4-5-11-3-12-6-2-8-10-9-,1,0,0,30,15.5,30,0,30,0,100,0
20170916,1,1200,4,GOOD TO FIRM,1-7-3-2-6-5-9-8-10-4-,2,0,0,30,26.0,30,0,30,21.5,100,0
20170916,2,1000,4,GOOD TO FIRM,10-5-4-2-6-7-3-1-8-9-,0,10,0,30,0,30,0,30,0,100,0
20170916,3,1650,5,GOOD,2-4-7-10-3-9-8-5-1-6-,1,10,0,30,17.0,30,0,30,0,100,0
20170916,4,1400,5,GOOD TO FIRM,8-4-6-7-10-11-9-3-1-2-5-,0,10,0,30,0,30,0,30,0,100,0
20170916,5,1650,4,GOOD,2-1-7-4-9-10-6-8-3-5-,2,10,0,30,41.0,30,115.0,30,49.5,100,0
20170916,6,1400,4,GOOD TO FIRM,1-2-8-10-4-3-5-9-7-6-11-,2,0,0,30,30.5,30,86.0,30,30.0,100,0
20170916,7,1000,2,GOOD TO FIRM,1-11-6-5-7-2-8-10-4-9-3-12-,1,10,0,30,16.5,30,0,30,0,100,0
20170916,8,1200,3,GOOD TO FIRM,3-8-1-12-10-9-5-2-6-4-7-11-,2,10,0,30,42.0,30,0,30,82.5,100,0
