raceSeqOfDate,raceMeeting,horseId,horseName,rateDate,draw,distance,course,raceClass,rating,jockey,going,addedWeight,declaredHorseWeight,finishTime,place,lbw,winOdds,horse_winPer,horse_winCount,horse_newHorse,horse_newDistance,jockey_winPer,jockey_winCount,horse_last4SpeedRate,horse_latestSpeedRate,Days_from_lastRace
1,ST,B393,PERFECT MATCH(B393),20181104,7,1200,TURF - "C+3" COURSE,4,0,M L Yeung,GOOD,126,1097,70.08,1,0.0,4.9,1.0,1,0,0,0.15,82,98,98,22
1,ST,B250,QUADRUPLE DOUBLE(B250),20181104,4,1200,TURF - "C+3" COURSE,4,0,C Wong,GOOD,120,1096,70.08,2,0.05,11.0,0.75,3,0,0,0.26,59,96,96,22
1,ST,B438,HAINAN STAR(B438),20181104,3,1200,TURF - "C+3" COURSE,4,0,C Schofield,GOOD,129,1158,70.23,3,0.75,2.2,1.0,1,0,0,0.25,122,99,99,22
1,ST,B178,STRATHALLAN(B178),20181104,6,1200,TURF - "C+3" COURSE,4,0,K Teetan,GOOD,133,1076,70.35,4,1.75,6.4,0.75,3,0,0,0.33,226,96,99,22
1,ST,B423,WAH MAY PRINCESS(B423),20181104,8,1200,TURF - "C+3" COURSE,4,0,C Y Ho,GOOD,125,1105,70.4,5,2.0,14.0,0.0,0,1,1,0.21,113,0,0,0
1,ST,B242,ROCKAGE(B242),20181104,1,1200,TURF - "C+3" COURSE,4,0,H N Wong,GOOD,115,1000,70.53,6,2.75,99.0,0.0,0,0,0,0.17,71,93,93,14
1,ST,B367,LET'S COME BACK(B367),20181104,10,1200,TURF - "C+3" COURSE,4,0,Z Purton,GOOD,131,1147,70.66,7,3.75,14.0,0.0,0,0,0,0.49,359,94,93,14
1,ST,B365,BELLA BABY(B365),20181104,12,1200,TURF - "C+3" COURSE,4,0,D Whyte,GOOD,130,1012,70.68,8,3.75,20.0,0.0,0,0,0,0.26,125,96,97,22
1,ST,B403,LE TERROIR(B403),20181104,5,1200,TURF - "C+3" COURSE,4,0,S de Sousa,GOOD,125,1107,70.91,9,5.25,11.0,0.0,0,0,0,0.34,2,96,96,22
1,ST,B448,OUR GREEN(B448),20181104,2,1200,TURF - "C+3" COURSE,4,0,U Rispoli,GOOD,132,1182,70.92,10,5.25,99.0,0.0,0,0,0,0.22,121,93,93,22
1,ST,B275,WINNING CIRCLE(B275),20181104,11,1200,TURF - "C+3" COURSE,4,0,S Clipperton,GOOD,127,1149,71.12,11,6.5,35.0,0.0,0,0,0,0.21,81,96,96,28
2,ST,S397,DIAMOND MASTER(S397),20181104,1,1000,TURF - "C+3" COURSE,4,0,M L Yeung,GOOD,127,1158,56.95,1,0.0,6.1,0.1,1,0,0,0.15,82,91,86,56
2,ST,C022,MULTIMILLION(C022),20181104,11,1000,TURF - "C+3" COURSE,4,0,K Teetan,GOOD,127,1159,57.11,2,1.0,3.1,0.0,0,1,1,0.33,226,0,0,0
2,ST,B274,LIGHTNING STEED(B274),20181104,13,1000,TURF - "C+3" COURSE,4,0,S de Sousa,GOOD,130,1093,57.6,3,4.0,5.3,0.43,3,0,0,0.34,2,93,95,22
2,ST,A313,HAPPY WARRIOR(A313),20181104,3,1000,TURF - "C+3" COURSE,4,0,D Whyte,GOOD,119,1116,57.67,4,4.5,12.0,0.0,0,0,0,0.26,125,92,89,291
2,ST,C014,KING'S HEROISM(C014),20181104,6,1000,TURF - "C+3" COURSE,4,0,W M Lai,GOOD,127,1190,58.03,5,6.75,99.0,0.0,0,1,1,0.12,39,0,0,0
2,ST,V385,LUNAR ZEPHYR(V385),20181104,5,1000,TURF - "C+3" COURSE,4,0,H N Wong,GOOD,126,1083,58.05,6,7.0,12.0,0.27,4,0,0,0.17,71,94,96,11
2,ST,A209,NICE FANDANGO(A209),20181104,9,1000,TURF - "C+3" COURSE,4,0,Z Purton,GOOD,132,1100,58.09,7,7.25,6.7,0.43,9,0,0,0.49,359,91,87,7
2,ST,B193,TEST THE STARS(B193),20181104,7,1000,TURF - "C+3" COURSE,4,0,C Y Ho,GOOD,125,1044,58.13,8,7.5,99.0,0.0,0,1,1,0.21,113,0,0,0
2,ST,B007,GUERDON HELMET(B007),20181104,2,1000,TURF - "C+3" COURSE,4,0,A Badel,GOOD,127,1044,58.24,9,8.0,11.0,0.0,0,1,1,0.24,49,0,0,0
2,ST,B439,DRAGON REGIMENT(B439),20181104,14,1000,TURF - "C+3" COURSE,4,0,M Chadwick,GOOD,127,1135,58.96,10,12.5,38.0,0.0,0,1,1,0.21,95,0,0,0
2,ST,B298,SUNNY MAJOR(B298),20181104,12,1000,TURF - "C+3" COURSE,4,0,S Clipperton,GOOD,132,1136,58.99,11,12.75,26.0,0.0,0,1,1,0.21,81,0,0,0
2,ST,B324,PEGASUS ELITE(B324),20181104,4,1000,TURF - "C+3" COURSE,4,0,G van Niekerk,GOOD,127,1095,59.49,12,15.75,87.0,0.0,0,1,1,0.3,27,0,0,0
2,ST,A013,OCEAN ELITE(A013),20181104,10,1000,TURF - "C+3" COURSE,4,0,C Wong,GOOD,111,1138,59.81,13,17.75,68.0,0.0,0,0,0,0.26,59,93,95,197
3,ST,T412,CHIU CHOW KID(T412),20181104,1,1600,TURF - "C+3" COURSE,5,0,U Rispoli,GOOD,133,1185,95.83,1,0.0,7.0,0.43,3,0,0,0.22,121,93,97,28
3,ST,T220,BEST EFFORT(T220),20181104,3,1600,TURF - "C+3" COURSE,5,0,K Teetan,GOOD,127,996,95.9,2,0.1,5.1,0.21,2,0,0,0.33,226,94,90,63
3,ST,A081,INDIGENOUS STAR(A081),20181104,10,1600,TURF - "C+3" COURSE,5,0,Z Purton,GOOD,133,1054,95.96,3,0.75,5.0,0.25,4,0,0,0.49,359,97,97,34
3,ST,A012,KWAICHUNG BROTHERS(A012),20181104,9,1600,TURF - "C+3" COURSE,5,0,N Callan,GOOD,127,1159,96.1,4,1.75,21.0,0.29,4,0,0,0.23,112,95,99,17
3,ST,T256,THE SHOW(T256),20181104,11,1600,TURF - "C+3" COURSE,5,0,C Wong,GOOD,125,1107,96.11,5,1.75,13.0,0.28,5,0,0,0.26,59,96,96,11
3,ST,B124,LUCKY STORM(B124),20181104,14,1600,TURF - "C+3" COURSE,5,0,A Badel,GOOD,126,1101,96.19,6,2.25,19.0,0.0,0,0,0,0.24,49,92,92,28
3,ST,V319,BONITO(V319),20181104,2,1600,TURF - "C+3" COURSE,5,0,G van Niekerk,GOOD,120,1144,96.23,7,2.5,99.0,0.0,0,0,0,0.3,27,76,76,182
3,ST,A312,XIANG HUANG QI(A312),20181104,8,1600,TURF - "C+3" COURSE,5,0,C Y Ho,GOOD,117,1151,96.28,8,2.75,99.0,0.0,0,0,0,0.21,113,83,96,133
3,ST,T288,DUTCH WINDMILL(T288),20181104,12,1600,TURF - "C+3" COURSE,5,0,C Schofield,GOOD,127,1053,96.48,9,4.0,68.0,0.38,6,0,0,0.25,122,90,93,28
3,ST,A334,TRIUMPHAL WIN(A334),20181104,7,1600,TURF - "C+3" COURSE,5,0,S de Sousa,GOOD,129,1252,96.78,10,6.0,11.0,0.12,1,0,0,0.34,2,92,96,32
3,ST,T224,TRIUMPHANT LIGHT(T224),20181104,4,1600,TURF - "C+3" COURSE,5,0,D Whyte,GOOD,130,1071,96.95,11,7.0,7.7,0.24,3,0,0,0.26,125,92,98,11
3,ST,T199,TOP ACE(T199),20181104,13,1600,TURF - "C+3" COURSE,5,0,C Murray,GOOD,133,1158,96.96,12,7.0,8.2,0.16,2,0,0,0.1,5,94,100,17
3,ST,A014,FAIR COMMENT(A014),20181104,5,1600,TURF - "C+3" COURSE,5,0,M Chadwick,GOOD,114,1183,97.22,13,8.75,17.0,0.12,1,0,0,0.21,95,94,93,28
3,ST,A237,MEGA TREASURE(A237),20181104,6,1600,TURF - "C+3" COURSE,5,0,M L Yeung,GOOD,127,1051,97.47,14,10.25,13.0,0.07,1,0,0,0.15,82,94,97,17
4,ST,V381,LET US WIN(V381),20181104,5,1600,TURF - "C+3" COURSE,4,0,S de Sousa,GOOD,131,1126,95.7,1,0.0,6.0,0.32,6,0,0,0.34,2,95,94,28
