raceSeqOfDate,raceMeeting,horseNo,horseId,horseName,rateDate,draw,distance,course,raceClass,rating,jockey,going,addedWeight,declaredHorseWeight,horse_winPer,horse_winCount,horse_newHorse,horse_newDistance,jockey_winPer,jockey_winCount,horse_last4SpeedRate,horse_latestSpeedRate,Days_from_lastRace
1,HV,1,B331,KEEP WINNING,20190210,1,1200,TURF - "A" COURSE,5,40,H N Wong(-3),GOOD,133,1115,0.0,0,0,0,0.0,0,88,91,21
1,HV,2,A081,INDIGENOUS STAR,20190210,11,1200,TURF - "A" COURSE,5,37,M Harley,GOOD,130,1040,0.34,7,0,0,0.0,0,96,99,29
1,HV,3,V143,NASHASHUK,20190210,12,1200,TURF - "A" COURSE,5,36,J Moreira,GOOD,129,1066,0.0,0,0,0,0.48,387,96,96,25
1,HV,4,B242,ROCKAGE,20190210,7,1200,TURF - "A" COURSE,5,36,K Teetan,GOOD,129,1000,0.0,0,0,0,0.32,284,92,94,43
1,HV,5,A046,M REBORN,20190210,2,1200,TURF - "A" COURSE,5,34,S de Sousa,GOOD,127,1166,0.41,2,0,0,0.39,73,95,96,43
1,HV,6,T233,SOCCER BRAVE,20190210,6,1200,TURF - "A" COURSE,5,34,A Sanna,GOOD,127,1041,0.19,2,0,0,0.17,74,83,79,53
1,HV,7,A208,ROCHFORD,20190210,10,1200,TURF - "A" COURSE,5,29,N Callan,GOOD,122,1198,0.15,2,0,0,0.24,141,95,97,35
1,HV,8,A423,GREAT SON,20190210,8,1200,TURF - "A" COURSE,5,27,M F Poon(-3),GOOD,120,1036,0.08,1,0,0,0.0,0,95,97,25
1,HV,9,B130,HIDDEN SPIRIT,20190210,9,1200,TURF - "A" COURSE,5,24,M Chadwick,GOOD,117,1149,0.0,0,0,0,0.21,126,89,88,35
1,HV,10,V088,RICHCITY FORTUNE,20190210,13,1200,TURF - "A" COURSE,5,24,H T Mo(-5),GOOD,117,1127,0.14,3,0,0,0.0,0,94,98,29
