raceSeqOfDate,raceMeeting,horseId,horseName,rateDate,draw,distance,course,raceClass,rating,jockey,going,addedWeight,declaredHorseWeight,finishTime,place,lbw,winOdds,horse_winPer,horse_winCount,horse_newHorse,horse_newDistance,jockey_winPer,jockey_winCount,horse_last4SpeedRate,horse_latestSpeedRate,Days_from_lastRace
1,ST,T073,MASSIVE MOVE(T073),20190202,1,1000,TURF - "C" COURSE,5,0,H T Mo,GOOD,122,1093,57.9,1,0.0,9.2,0.22,4,0,0,0.24,116,94,95,27
1,ST,A082,WHISTLE UP(A082),20190202,4,1000,TURF - "C" COURSE,5,0,T H So,GOOD,118,1186,57.95,2,0.1,13.0,0.34,2,0,0,0.11,11,94,91,146
1,ST,B136,DISTRICT EXPRESS(B136),20190202,8,1000,TURF - "C" COURSE,5,0,C Schofield,GOOD,130,1160,58.08,3,1.25,3.2,0.12,1,0,0,0.25,152,89,96,6
1,ST,A107,PADDINGTON(A107),20190202,3,1000,TURF - "C" COURSE,5,0,J Moreira,GOOD,116,1114,58.18,4,1.75,4.2,0.13,2,0,0,0.48,377,95,96,17
1,ST,V107,HAPPY SOUND(V107),20190202,7,1000,TURF - "C" COURSE,5,0,M Chadwick,GOOD,124,1149,58.19,5,1.75,7.2,0.29,6,0,0,0.21,122,94,94,27
1,ST,B275,WINNING CIRCLE(B275),20190202,10,1000,TURF - "C" COURSE,5,0,C Murray,GOOD,132,1118,58.26,6,2.25,73.0,0.0,0,0,0,0.06,7,87,88,10
1,ST,B134,MONEY MARSHAL(B134),20190202,6,1000,TURF - "C" COURSE,5,0,K Teetan,GOOD,127,1132,58.46,7,3.5,36.0,0.0,0,0,0,0.32,280,91,87,27
1,ST,V086,RUMINARE(V086),20190202,2,1000,TURF - "C" COURSE,5,0,D Whyte,GOOD,117,1137,58.51,8,3.75,4.0,0.17,1,0,0,0.26,164,91,94,6
1,ST,B296,BLACK TECH(B296),20190202,5,1000,TURF - "C" COURSE,5,0,C Wong,GOOD,126,1035,59.26,9,8.5,68.0,0.0,0,0,0,0.28,93,90,86,35
1,ST,B036,BEST RUNNER(B036),20190202,9,1000,TURF - "C" COURSE,5,0,M L Yeung,GOOD,127,1120,59.37,10,9.25,21.0,0.0,0,0,0,0.16,101,91,91,3
2,ST,S205,SWEET BEAN(S205),20190202,12,1800,ALL WEATHER TRACK,5,0,M Chadwick,GOOD,117,1014,109.44,1,0.0,22.0,0.38,10,0,0,0.21,122,94,96,10
2,ST,B150,ENJOYABLE SUCCESS(B150),20190202,1,1800,ALL WEATHER TRACK,5,0,N Callan,GOOD,129,1050,109.83,2,2.5,7.6,0.06,1,0,0,0.24,140,93,97,24
2,ST,A329,JIN JIN KING(A329),20190202,4,1800,ALL WEATHER TRACK,5,0,M F Poon,GOOD,130,1092,109.87,3,2.75,6.0,0.0,0,0,0,0.27,176,90,96,27
2,ST,T298,LITTLE FANTASY(T298),20190202,7,1800,ALL WEATHER TRACK,5,0,K Teetan,GOOD,113,1228,109.95,4,3.25,12.0,0.13,2,0,0,0.32,280,92,94,32
2,ST,T113,TRAVEL AMBASSADOR(T113),20190202,11,1800,ALL WEATHER TRACK,5,0,C Schofield,GOOD,127,1154,109.97,5,3.25,58.0,0.23,2,0,0,0.25,152,90,96,10
2,ST,V326,GORGEOUS AGAIN(V326),20190202,5,1800,ALL WEATHER TRACK,5,0,Z Purton,GOOD,132,1099,110.24,6,5.0,36.0,0.07,1,0,0,0.49,446,90,96,13
2,ST,V202,DRAGON WARRIOR(V202),20190202,2,1800,ALL WEATHER TRACK,5,0,D Whyte,GOOD,121,1215,110.27,7,5.25,11.0,0.11,1,0,1,0.26,164,94,94,27
2,ST,A273,LUCKY SHINY DAY(A273),20190202,3,1800,ALL WEATHER TRACK,5,0,J Moreira,GOOD,132,1015,110.99,8,9.75,2.4,0.28,3,0,0,0.48,377,92,86,38
2,ST,A186,MI BLANCO(A186),20190202,9,1800,ALL WEATHER TRACK,5,0,U Rispoli,GOOD,124,1125,111.13,9,10.5,14.0,0.28,5,0,0,0.22,146,92,98,21
2,ST,A053,CORRE RAPIDO(A053),20190202,8,1800,ALL WEATHER TRACK,5,0,A Badel,GOOD,118,1140,111.24,10,11.25,14.0,0.29,4,0,0,0.24,78,96,95,45
