"rateDate";"raceMeeting";"raceId";"raceSeqOfDay";"raceClass";"distance";"going";"course";"draw";"horseId";"horseName";"hourseNo";"rating";"jockey";"trainer";"addedWeight";"declaredHorseWeight";"lbsString";"lbs";"winOdds";"place";"runningPosition";"finishTimeString";"finishTime";"cmment"
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";7;"B393";"PERFECT MATCH(B393)";7;0;"M L Yeung";"C S Shum";126;1097;"-";0.0;4.9;1;"3 3 1";"1.10.08";70.08;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";4;"B250";"QUADRUPLE DOUBLE(B250)";8;0;"C Wong";"D J Hall";120;1096;"NOSE";0.05;11.0;2;"1 1 2";"1.10.08";70.08;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";3;"B438";"HAINAN STAR(B438)";6;0;"C Schofield";"P F Yiu";129;1158;"3/4";0.75;2.2;3;"5 5 3";"1.10.23";70.23;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";6;"B178";"STRATHALLAN(B178)";1;0;"K Teetan";"A T Millard";133;1076;"1-3/4";1.75;6.4;4;"4 4 4";"1.10.35";70.35;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";8;"B423";"WAH MAY PRINCESS(B423)";9;0;"C Y Ho";"A S Cruz";125;1105;"2";2.0;14.0;5;"2 2 5";"1.10.40";70.4;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";1;"B242";"ROCKAGE(B242)";12;0;"H N Wong";"F C Lor";115;1000;"2-3/4";2.75;99.0;6;"6 6 6";"1.10.53";70.53;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";10;"B367";"LET'S COME BACK(B367)";4;0;"Z Purton";"C Fownes";131;1147;"3-3/4";3.75;14.0;7;"10 10 7";"1.10.66";70.66;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";12;"B365";"BELLA BABY(B365)";5;0;"D Whyte";"W Y So";130;1012;"3-3/4";3.75;20.0;8;"11 11 8";"1.10.68";70.68;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";5;"B403";"LE TERROIR(B403)";11;0;"S de Sousa";"L Ho";125;1107;"5-1/4";5.25;11.0;9;"7 8 9";"1.10.91";70.91;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";2;"B448";"OUR GREEN(B448)";2;0;"U Rispoli";"C H Yip";132;1182;"5-1/4";5.25;99.0;10;"9 7 10";"1.10.92";70.92;""
"20181104";"ST";"145";1;4;1200;"GOOD";"TURF - ""C+3"" COURSE";11;"B275";"WINNING CIRCLE(B275)";10;0;"S Clipperton";"M J Freedman";127;1149;"6-1/2";6.5;35.0;11;"12 12 11";"1.11.12";71.12;""
"20181104";"ST";"146";2;4;1000;"GOOD";"TURF - ""C+3"" COURSE";1;"S397";"DIAMOND MASTER(S397)";5;0;"M L Yeung";"K H Ting";127;1158;"-";0.0;6.1;1;"8 5 1";"0.56.95";56.95;""
"20181104";"ST";"146";2;4;1000;"GOOD";"TURF - ""C+3"" COURSE";11;"C022";"MULTIMILLION(C022)";10;0;"K Teetan";"A S Cruz";127;1159;"1";1.0;3.1;2;"1 1 2";"0.57.11";57.11;""
"20181104";"ST";"146";2;4;1000;"GOOD";"TURF - ""C+3"" COURSE";13;"B274";"LIGHTNING STEED(B274)";4;0;"S de Sousa";"M J Freedman";130;1093;"4";4.0;5.3;3;"3 3 3";"0.57.60";57.6;""
"20181104";"ST";"146";2;4;1000;"GOOD";"TURF - ""C+3"" COURSE";3;"A313";"HAPPY WARRIOR(A313)";13;0;"D Whyte";"J Moore";119;1116;"4-1/2";4.5;12.0;4;"12 11 4";"0.57.67";57.67;""
"20181104";"ST";"146";2;4;1000;"GOOD";"TURF - ""C+3"" COURSE";6;"C014";"KING'S HEROISM(C014)";9;0;"W M Lai";"L Ho";127;1190;"6-3/4";6.75;99.0;5;"10 8 5";"0.58.03";58.03;""
